scientific_name,common_name,category,variant,adult_size_cm,min_tank_l,min_group_size,recommended_group_size,temperature_min,temperature_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,temperament,swimming_zone,diet,difficulty,shrimp_safe,snail_safe,plant_safe,source_name,source_url,verification_status,verified_at,notes
Paracheirodon axelrodi,Cardinal tetra,fish,,3,,5,,23,27,4,6,5,12,,,peaceful,midwater,"worms; small crustaceans",,,,,FishBase,https://www.fishbase.se/summary/Paracheirodon-axelrodi.html,verified,2026-08-25,"FishBase explicitly states groups of 5+ and minimum aquarium length 60 cm; liters intentionally not inferred from length."
Boraras brigittae,Chili rasbora,fish,,3.5,,,,25,28,6.5,7,,10,,,schooling,midwater,,,,,,FishBase,https://www.fishbase.se/summary/Boraras_brigittae.html,verified,2026-08-25,"FishBase states it occurs in schools. Minimum tank size/group recommendation intentionally left unset."
Trigonostigma heteromorpha,Harlequin rasbora,fish,,5,,5,,22,25,5,7,5,12,,,peaceful,midwater,"worms; crustaceans; insects",,,,,FishBase,https://www.fishbase.se/summary/Trigonostigma_heteromorpha.html,verified,2026-08-25,"FishBase explicitly states groups of 5+ and minimum aquarium length 60 cm."
Danio margaritatus,Celestial pearl danio,fish,,2.1,,,,22,24,,,,,,,,peaceful,midwater,,,,,,FishBase,https://www.fishbase.se/summary/Danio-margaritatus.html,partial,2026-08-25,"22-24 C is documented habitat water temperature in source, not a full aquarium tolerance range; therefore status partial and pH/GH omitted."
Gastrodermus pygmaeus,Pygmy corydoras,fish,,,,,,22,26,6,8,2,25,,,peaceful,bottom_midwater,,,,,,FishBase,https://www.fishbase.se/summary/corydoras-pygmaeus.html,partial,2026-08-25,"Current FishBase accepted genus shown as Gastrodermus; Corydoras pygmaeus should be retained as searchable synonym."
Mikrogeophagus ramirezi,Ram cichlid,fish,,4.2,,2,2,27,30,5,6,5,12,,,territorial_pair,bottom_midwater,,,,,,FishBase,https://www.fishbase.se/summary/12305,verified,2026-08-25,"FishBase aquarium note says keep in pairs and minimum aquarium length 60 cm; liters intentionally not inferred."
Danio rerio,Zebra danio,fish,,,,,,18,24,6,8,5,19,,,schooling,midwater,,,,,,FishBase,https://www.fishbase.org/summary/SpeciesSummary.php?genusname=Brachydanio&speciesname=rerio,verified,2026-08-25,"FishBase directly supplies pH, dH and temperature ranges. Group/tank-liter values intentionally not inferred."
Pterophyllum scalare,Freshwater angelfish,fish,,10.5,,,,24,30,6,8,5,13,,,cichlid,midwater,,,,,,FishBase,https://www.fishbase.org/summary/4717,verified,2026-08-25,"FishBase directly supplies water ranges and max total length; aquarium liters/group deliberately left unset."
Trichogaster labiosa,Thick-lipped gourami,fish,,9,,,,22,28,6,7.5,4,10,,,peaceful,upper_midwater,,,,,,FishBase,https://fishbase.org/summary/4772,verified,2026-08-25,"FishBase directly supplies pH, dH, temperature and 9 cm maximum length; minimum aquarium is stated as 100 cm length, so liters are not inferred."
Carassius auratus,Goldfish,fish,,48,,5,,0,41,6,8,5,19,,,peaceful,all,"plankton; benthic invertebrates; plant material; detritus",,,,,FishBase,https://www.fishbase.org/Summary/SpeciesSummary.php?ID=271,partial,2026-08-25,"FishBase supplies broad species environmental tolerance and max recorded size; aquarium note says groups of 5+ and 100 cm minimum aquarium length. Temperature is ecological species range, not a recommended ornamental-aquarium target, therefore partial."
Pangasianodon hypophthalmus,Iridescent shark catfish,fish,,130,,,,22,26,6.5,7.5,2,29,,,schooling,midwater_bottom,,,,,,FishBase,https://fishbase.org/summary/14154,partial,2026-08-25,"Included to prevent misleading small-tank selection: FishBase reports up to 130 cm SL. Water values are species ecology; no aquarium-liter recommendation inferred."
