scientific_name,common_name,variant,difficulty,light_requirement,co2_requirement,growth_rate,placement,temperature_min,temperature_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,height_min_cm,height_max_cm,source_name,source_url,verification_status,verified_at,notes
Rotala rotundifolia,,,easy,Low,Low,Medium,background,,,,,,,,,15,30,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Undemanding stem plant; chemistry intentionally unset."
Rotala rotundifolia,,Green,,Medium,Medium,,midground,,,,,,,,,20,30,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Cultivar retained as distinct variant."
Rotala rotundifolia,,H'ra,,Medium,Medium,,midground,,,,,,,,,3,20,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Pink-orange cultivar; creeping possible under high light."
Staurogyne repens,,,,Low,Low,Medium,foreground,,,,,,,,,3,10,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Compact foreground stem plant."
Eleocharis acicularis,,,,Low,Low,Medium,foreground,,,,,,,,,10,15,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Carpeting foreground plant."
Eleocharis pusilla,,Mini,,Medium,Medium,Slow,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Trade synonym Eleocharis acicularis Mini should be an alias."
Micranthemum tweediei,,Monte Carlo,,Medium,Medium,Medium,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Carpeting plant."
Micranthemum callitrichoides,,Cuba,,High,High,Medium,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Historical Hemianthus name should be alias."
Alternanthera reineckii,,Mini,,Medium,Medium,Medium,foreground,,,,,,,,,5,10,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Compact red cultivar."
Alternanthera reineckii,,Rosanervig,,Medium,Medium,Medium,midground,,,,,,,,,5,20,Tropica,https://tropica.com/en/plants/search/,verified,2026-08-25,"Pink cultivar with pale veins."
Alternanthera reineckii,,Pink,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Also known as Rosaefolia; avoid duplicate trade-name record."
Ammannia crassicaulis,,,,,,Fast,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Fast-growing red stem plant."
Anubias barteri,,Coin Leaf,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Rhizomatous hardscape plant."
Anubias barteri,,Mini Coin,easy,Low,Low,Slow,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Small round-leaved cultivar."
Anubias barteri,,Petite,easy,Low,Low,Slow,foreground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Small Anubias cultivar."
Anubias barteri,,Coffeifolia,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Ridged leaves and reddish new growth."
Anubias gracilis,,,,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Triangular leaves; tolerates low light."
Aponogeton boivinianus,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Large bulb plant; dormant period required."
Aponogeton madagascariensis,Madagascar Lace Plant,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Distinctive lace-leaf bulb plant."
Aponogeton ulvaceus,,,,,,,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Large solitary bulb plant."
Bacopa australis,,,,,,,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Can remain low and compact in good conditions."
Bacopa caroliniana,,,,Low,Low,Medium,background,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Easy beginner stem plant."
Bucephalandra pygmaea,,Bukit Kelam,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Attach to rock or wood."
Bucephalandra sordidula,,Blue,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Blue-leaved hardscape plant."
Bucephalandra sp.,,Needle Leaf,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Trade-name taxon retained as sp. cultivar."
Bucephalandra sp.,,Red,easy,Low,Low,Slow,midground,,,,,,,,,,,Tropica,https://tropica.com/en/plants,verified,2026-08-25,"Undemanding rhizomatous plant."
