manufacturer,product_name,nutrient_code,concentration_mg_l,dose_ml,reference_volume_l,resulting_increase_mg_l,expression_basis,source_name,source_url,verification_status,verified_at,evidence_note
Seachem,Flourish Phosphorus,PO4,4500,2.5,80,0.15,phosphate,Seachem,https://www.seachem.com/flourish-phosphorus.php,verified,2026-08-25,"Manufacturer states 4500 mg/L phosphate solution and beginner dose raises phosphate by 0.15 mg/L."
Seachem,Flourish Phosphorus,P,,2.5,80,0.05,elemental phosphorus,Seachem,https://www.seachem.com/flourish-phosphorus.php,verified,2026-08-25,"Manufacturer explicitly states beginner dose raises phosphorus by 0.05 mg/L."
Seachem,Flourish Nitrogen,NO3_EQUIVALENT,,2.5,160,1,nitrate-equivalent nitrogen effect,Seachem,https://www.seachem.com/flourish-nitrogen.php,verified,2026-08-25,"Not literal nitrate; manufacturer says nitrogen increase is equivalent to 1 mg/L nitrate."
Seachem,Flourish Iron,Fe,,5,200,0.25,elemental iron,Seachem,https://www.seachem.com/flourish-iron.php,verified,2026-08-25,"Manufacturer explicitly states standard dose raises iron by 0.25 mg/L."
Seachem,Flourish Potassium,K,,5,125,2,elemental potassium,Seachem,https://www.seachem.com/flourish-potassium.php,verified_label_override,2026-08-25,"Selected operational value: current physical bottle label confirmed by user and official Seachem directions/FAQ state +2 mg/L K."
Seachem,Flourish Potassium,K,41500,5,125,1.66,elemental potassium,Seachem,https://www.seachem.com/flourish-potassium.php,conflicting_observation,2026-08-25,"Provenance only: 41,500 mg/L concentration mathematically yields 1.66 mg/L at 5 mL/125 L. Not selected because current bottle label/directions state 2 mg/L."
Easy-Life,Ferro,Fe,,5,100,0.5,elemental iron,Easy-Life,https://www.easylife.eu/static/upload/raw/d45f54fb-ecc8-4488-872d-5afbbd2e366f/Catalog_2024_English_72dpi.pdf,verified,2026-08-25,"Official 2024 catalog direct effect."
Easy-Life,Potassium,K,,10,100,4,elemental potassium,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/potassium,verified,2026-08-25,"Official product page direct effect."
Easy-Life,Nitro,NO3,,10,500,2,nitrate,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/nitro,verified,2026-08-25,"Official product page direct effect."
Easy-Life,Nitro,K,,10,500,1.3,elemental potassium,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/nitro,verified,2026-08-25,"Official product page direct effect."
Easy-Life,Fosfo,PO4,,10,100,1,phosphate,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/fosfo,verified,2026-08-25,"Official product page direct effect."
Easy-Life,GreenScape,NO3,,10,50,20,nitrate,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/greenscape,verified,2026-08-25,"Official product page direct effect."
Easy-Life,GreenScape,PO4,,10,50,2,phosphate,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/greenscape,verified,2026-08-25,"Official product page direct effect."
Easy-Life,GreenScape,K,,10,50,13,elemental potassium,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/greenscape,verified,2026-08-25,"Official product page direct effect."
Easy-Life,GreenScape,Fe,,10,50,0.4,elemental iron,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/greenscape,verified,2026-08-25,"Official product page direct effect."
JBL,ProScape N Macroelements,NO3,,2,100,2,nitrate,JBL,https://www.jbl.de/en-il/productsv2/download_instruction_manual_pdf/25000123,verified,2026-08-25,"Official instructions direct effect at 2 mL/100 L."
JBL,ProScape N Macroelements,K,,2,100,0.5,elemental potassium,JBL,https://www.jbl.de/en-il/productsv2/download_instruction_manual_pdf/25000123,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape N Macroelements,Ca,,2,100,0.17,elemental calcium,JBL,https://www.jbl.de/en-il/productsv2/download_instruction_manual_pdf/25000123,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape N Macroelements,Mg,,2,100,0.05,elemental magnesium,JBL,https://www.jbl.de/en-il/productsv2/download_instruction_manual_pdf/25000123,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape P Macroelements,PO4,,2,100,0.1,phosphate,JBL,https://www.jbl.de/en-ae/productsv2/download_instruction_manual_pdf/25000126,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape P Macroelements,K,,2,100,0.17,elemental potassium,JBL,https://www.jbl.de/en-ae/productsv2/download_instruction_manual_pdf/25000126,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape K Macroelements,K,,2,100,1,elemental potassium,JBL,https://www.jbl.de/en-us/productsv2/download_instruction_manual_pdf/25000129,verified,2026-08-25,"Official instructions direct effect."
JBL,ProScape Mg Macroelements,Mg,,5,100,0.625,elemental magnesium,JBL,https://www.jbl.de/en-hu/productsv2/download_instruction_manual_pdf/25000134,verified,2026-08-25,"Official instructions direct effect."
