manufacturer,product_name,product_variant,category,default_dose_ml,default_dose_volume_l,dose_frequency,calculation_safe,source_name,source_url,verification_status,verified_at,notes
Seachem,Flourish Phosphorus,,phosphorus,2.5,80,once or twice weekly,true,Seachem,https://www.seachem.com/flourish-phosphorus.php,verified,2026-08-25,"Official manufacturer page and Knowledge Base agree on dose and effect."
Seachem,Flourish Nitrogen,,nitrogen,2.5,160,twice weekly,true,Seachem,https://www.seachem.com/flourish-nitrogen.php,verified,2026-08-25,"Official manufacturer page and Knowledge Base agree. Effect is stored as NO3-equivalent, not literal nitrate concentration."
Seachem,Flourish Iron,,iron,5,200,as needed,true,Seachem,https://www.seachem.com/flourish-iron.php,verified,2026-08-24,"Official page states standard dose raises Fe by 0.25 mg/L."
Seachem,Flourish Potassium,,potassium,5,125,2-3 times weekly,true,Seachem,https://www.seachem.com/flourish-potassium.php,verified_label_override,2026-08-25,"Use +2 mg/L K for 5 mL/125 L. User confirmed this value from a current physical product bottle; it also matches the official Seachem directions/FAQ. The 1.66 mg/L observation remains provenance only."
Seachem,Flourish,,micronutrients,5,250,once or twice weekly,false,Seachem,https://www.seachem.com/flourish.php,verified,2026-08-25,"Manufacturer dosing verified. Exact per-dose nutrient increases are not enabled because guaranteed analysis is percentage-by-weight and density/formulation conversion is not used here."
Seachem,Flourish Trace,,trace,5,80,twice weekly,false,Seachem,https://www.seachem.com/flourish-trace.php,verified,2026-08-25,"Manufacturer dosing verified; no automatic nutrient increase calculation."
Seachem,Flourish Excel,,carbon,5,200,daily or every other day,false,Seachem,https://www.seachem.com/flourish-excel.php,verified,2026-08-25,"Maintenance dose. Initial/after >40% water change dose is 5 mL/40 L and must be stored as a separate dosing rule at deployment. No CO2-equivalent math."
Tropica,Premium Nutrition,,micronutrients,6,50,weekly,false,Tropica,https://tropica.com/en/plant-care/liquid-fertilisers/premium-nutrition/,verified,2026-08-25,"Official dose 6 mL/50 L weekly. Contains no N or P; declaration available but no direct mg/L effect used."
Tropica,Specialised Nutrition,,complete_npk,6,50,weekly,false,Tropica,https://tropica.com/en/plant-care/liquid-fertilisers/specialised-nutrition/,verified,2026-08-25,"Official dose 6 mL/50 L weekly. Manufacturer declaration available; automatic mg/L effect disabled pending density/formulation-safe conversion."
Easy-Life,ProFito,,micronutrients,10,100,weekly,false,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/profito,verified,2026-08-25,"Official dose 10 mL/100 L weekly; manufacturer says no nitrate or phosphate."
Easy-Life,Ferro,,iron,5,100,as needed,true,Easy-Life,https://www.easylife.eu/static/upload/raw/d45f54fb-ecc8-4488-872d-5afbbd2e366f/Catalog_2024_English_72dpi.pdf,verified,2026-08-25,"Official 2024 catalog: 5 mL/100 L raises Fe by 0.50 mg/L."
Easy-Life,Potassium,,potassium,10,100,weekly,true,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/potassium,verified,2026-08-25,"Official page: 10 mL/100 L raises K by 4 mg/L."
Easy-Life,Nitro,,nitrogen,10,500,after measurement,true,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/nitro,verified,2026-08-25,"Official page: 10 mL/500 L raises NO3 by 2.0 mg/L and K by 1.3 mg/L."
Easy-Life,Fosfo,,phosphorus,10,100,after measurement,true,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/fosfo,verified,2026-08-25,"Official page: 10 mL/100 L raises PO4 by 1 mg/L."
Easy-Life,GreenScape,,complete_npk,10,50,weekly,true,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/greenscape,verified,2026-08-25,"Official page gives direct per-dose increases for NO3, PO4, K and Fe."
Easy-Life,EasyCarbo Bio,,carbon,10,100,weekly,false,Easy-Life,https://www.easylife.eu/products/freshwater/plant-food/easycarbo-bio,verified,2026-08-25,"Official normal dose verified. No CO2-equivalent calculation."
JBL,ProScape N Macroelements,,nitrogen,2,100,daily in high-light CO2 setup,true,JBL,https://www.jbl.de/en-il/productsv2/download_instruction_manual_pdf/25000123,verified,2026-08-25,"Official JBL instructions give direct effects for NO3, K, Ca and Mg at 2 mL/100 L."
JBL,ProScape P Macroelements,,phosphorus,2,100,daily in high-light CO2 setup,true,JBL,https://www.jbl.de/en-ae/productsv2/download_instruction_manual_pdf/25000126,verified,2026-08-25,"Official JBL instructions: 2 mL/100 L yields PO4 0.1 mg/L and K 0.17 mg/L."
JBL,ProScape K Macroelements,,potassium,2,100,condition dependent,true,JBL,https://www.jbl.de/en-us/productsv2/download_instruction_manual_pdf/25000129,verified,2026-08-25,"Official JBL instructions: 2 mL/100 L raises K by 1.0 mg/L."
JBL,ProScape Mg Macroelements,,magnesium,5,100,condition dependent,true,JBL,https://www.jbl.de/en-hu/productsv2/download_instruction_manual_pdf/25000134,verified,2026-08-25,"Official JBL instructions: 5 mL/100 L raises Mg by 0.625 mg/L; normal dose varies with light/CO2."
INVITAL,Ferox,,micronutrients,5,100,3 times weekly,false,secondary_consensus,,partial,2026-08-25,"Multiple SK/CZ sellers reproduce the same INVITAL dosing and nutrient table: high-light CO2 5 mL/100 L 3x weekly; 5 mL dose stated to supply Fe 0.25 mg/L and K 2.5 mg/L among micros. Keep calculation disabled until direct current INVITAL page or physical label is captured."
INVITAL,Macro,,complete_npk,1,100,daily in high-light CO2 setup,false,secondary_consensus,,partial,2026-08-25,"Multiple sellers consistently reproduce INVITAL instructions: high-light CO2 1 mL/100 L daily; weekly use at this regimen stated to provide NO3 6 mg/L, K 3.8 mg/L and PO4 0.5 mg/L. Calculation disabled until direct current INVITAL source/label is captured."
