scientific_name,common_name,variant,difficulty,light_requirement,co2_requirement,growth_rate,placement,temperature_min,temperature_max,ph_min,ph_max,gh_min,gh_max,kh_min,kh_max,height_min_cm,height_max_cm,source_name,source_url,verification_status,verified_at,notes
Rotala rotundifolia,,,easy,Low,Low,Medium,background,,,,,,,,,15,30,Tropica,https://tropica.com/en/plants/plantdetails/4447/4447,verified,2026-08-25,"Tropica describes it as relatively undemanding; pH/GH/KH intentionally left unset."
Rotala rotundifolia,,Green,,Medium,Medium,,midground,,,,,,,,,20,30,Tropica,https://tropica.com/en/plants/plantdetails/Rotalarotundifolia%27Green%27%28033ATC%29/22545,verified,2026-08-25,"Exact Tropica cultivar page; growth rate field omitted because page currently does not expose a value."
Rotala rotundifolia,,H'ra,,Medium,Medium,,midground,,,,,,,,,3,20,Tropica,https://tropica.com/en/plants/plantdetails/Rotala%27VietnamH%27ra%27%28032CTC%29/19550,verified,2026-08-25,"Tropica notes creeping/overhanging habit under high light, good fertilisation and CO2."
Staurogyne repens,,,,Low,Low,Medium,foreground,,,,,,,,,3,10,Tropica,https://tropica.com/en/plants/plantdetails/4481/4481,verified,2026-08-25,"Compact foreground stem plant."
Eleocharis acicularis,,,,Low,Low,Medium,foreground,,,,,,,,,10,15,Tropica,https://tropica.com/en/plants/plantdetails/Eleocharisacicularis%28133TC%29/28401,verified,2026-08-25,"Carpeting foreground plant; exact water chemistry not supplied by Tropica."
Eleocharis pusilla,,Mini,,Medium,Medium,Slow,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/plantdetails/Eleocharisacicularis%27Mini%27%28132BTC%29/4571,verified,2026-08-25,"Current Tropica page uses Eleocharis pusilla 'Mini'; historical trade name Eleocharis acicularis 'Mini' should be searchable as alias later."
Micranthemum tweediei,,Monte Carlo,,Medium,Medium,Medium,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/plantdetails/4442/4442,verified,2026-08-25,"Carpeting plant; source says good light and CO2 give optimum compact growth."
Micranthemum callitrichoides,,Cuba,,High,High,Medium,foreground,,,,,,,,,3,5,Tropica,https://tropica.com/en/plants/plantdetails/Hemianthuscallitrichoides%27Cuba%27%28048BTC%29/4478,verified,2026-08-25,"Tropica currently titles species Micranthemum callitrichoides; historical Hemianthus name retained later as alias."
Alternanthera reineckii,,Mini,,Medium,Medium,Medium,foreground,,,,,,,,,5,10,Tropica,https://tropica.com/en/plants/plantdetails/4439/4439,verified,2026-08-25,"Cultivar; Tropica says high light and CO2 improve growth and appearance."
Alternanthera reineckii,,Rosanervig,,Medium,Medium,Medium,midground,,,,,,,,,5,20,Tropica,https://tropica.com/en/plants/plantdetails/AlternantherareineckiiRosanervig%28023D%29/4440,verified,2026-08-25,"Tropica cultivar page."
